term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tfidf	True	True	cosine	1,1,1,1	0.1713	0.1250	0.0538	0.0129	0.1167	0.1060	0.4658	0.1444
tfidf	True	True	cosine	1,3,4,1	0.1967	0.1336	0.0707	0.0139	0.1336	0.1188	0.4758	0.1388
tfidf	True	True	cosine	1,1,1,4	0.1518	0.1181	0.0392	0.0123	0.1030	0.0975	0.4759	0.1441
tfidf	True	True	jaccard	1,1,1,1	0.1713	0.1250	0.0538	0.0129	0.1167	0.1060	0.4658	0.1444
tfidf	True	True	jaccard	1,3,4,1	0.1967	0.1336	0.0707	0.0139	0.1336	0.1188	0.4758	0.1388
tfidf	True	True	jaccard	1,1,1,4	0.1518	0.1181	0.0392	0.0123	0.1030	0.0975	0.4759	0.1441
tfidf	True	True	dice	1,1,1,1	0.1713	0.1250	0.0538	0.0129	0.1167	0.1060	0.4658	0.1444
tfidf	True	True	dice	1,3,4,1	0.1967	0.1336	0.0707	0.0139	0.1336	0.1188	0.4758	0.1388
tfidf	True	True	dice	1,1,1,4	0.1518	0.1181	0.0392	0.0123	0.1030	0.0975	0.4759	0.1441
tfidf	True	True	overlap	1,1,1,1	0.1529	0.1201	0.0718	0.0173	0.1149	0.1044	0.5159	0.1579
tfidf	True	True	overlap	1,3,4,1	0.1876	0.1280	0.0746	0.0165	0.1301	0.1131	0.5452	0.1723
tfidf	True	True	overlap	1,1,1,4	0.1424	0.1060	0.0627	0.0190	0.1037	0.0925	0.5066	0.1523
boolean	False	False	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	dice	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	dice	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	overlap	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	overlap	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	overlap	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
