term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tfidf	False	True	jaccard	1,1,1,4	0.2594	0.1557	0.0878	0.0503	0.1676	0.1556	0.4704	0.1338
tfidf	False	True	dice	1,1,1,1	0.3039	0.2098	0.0989	0.0380	0.2042	0.1843	0.4977	0.1520
tfidf	False	True	dice	1,3,4,1	0.3019	0.2172	0.0945	0.0289	0.2045	0.1897	0.4784	0.1449
tfidf	False	True	dice	1,1,1,4	0.2594	0.1557	0.0878	0.0503	0.1676	0.1556	0.4704	0.1338
tfidf	False	True	overlap	1,1,1,1	0.1967	0.1525	0.0837	0.0120	0.1443	0.1257	0.5203	0.1662
tfidf	False	True	overlap	1,3,4,1	0.1676	0.1523	0.0869	0.0132	0.1356	0.1203	0.5121	0.1527
tfidf	False	True	overlap	1,1,1,4	0.1768	0.1440	0.0829	0.0124	0.1346	0.1194	0.5236	0.1634
tfidf	True	False	cosine	1,1,1,1	0.2662	0.1807	0.0957	0.0421	0.1809	0.1746	0.5444	0.1659
tfidf	True	False	cosine	1,3,4,1	0.2828	0.1830	0.0908	0.0309	0.1855	0.1770	0.5374	0.1666
tfidf	True	False	cosine	1,1,1,4	0.2350	0.1385	0.0837	0.0422	0.1524	0.1536	0.5517	0.1729
tfidf	True	False	jaccard	1,1,1,1	0.2662	0.1807	0.0957	0.0421	0.1809	0.1746	0.5444	0.1659
tfidf	True	False	jaccard	1,3,4,1	0.2828	0.1830	0.0908	0.0309	0.1855	0.1770	0.5374	0.1666
tfidf	True	False	jaccard	1,1,1,4	0.2350	0.1385	0.0837	0.0422	0.1524	0.1536	0.5517	0.1729
tfidf	True	False	dice	1,1,1,1	0.2662	0.1807	0.0957	0.0421	0.1809	0.1746	0.5444	0.1659
tfidf	True	False	dice	1,3,4,1	0.2828	0.1830	0.0908	0.0309	0.1855	0.1770	0.5374	0.1666
tfidf	True	False	dice	1,1,1,4	0.2350	0.1385	0.0837	0.0422	0.1524	0.1536	0.5517	0.1729
tfidf	True	False	overlap	1,1,1,1	0.1323	0.1186	0.0686	0.0122	0.1065	0.0955	0.5778	0.1790
tfidf	True	False	overlap	1,3,4,1	0.1534	0.1293	0.0724	0.0135	0.1183	0.1064	0.5698	0.1715
tfidf	True	False	overlap	1,1,1,4	0.1159	0.0982	0.0588	0.0117	0.0909	0.0844	0.5589	0.1756
tfidf	True	True	cosine	1,1,1,1	0.3141	0.2084	0.1056	0.0497	0.2094	0.2025	0.5241	0.1684
tfidf	True	True	cosine	1,3,4,1	0.3116	0.2088	0.1069	0.0392	0.2091	0.1996	0.5109	0.1542
tfidf	True	True	cosine	1,1,1,4	0.2579	0.1620	0.0944	0.0495	0.1714	0.1721	0.4995	0.1500
